,sentence,term,polarity,from,to,ln
1484,"The staff isn't the friendliest or most competent, and I am stickler for service, but everything else about this place makes up for it.","['staff', 'service']","['negative', 'negative']","['4', '73']","['9', '80']","[5, 7]"
1485,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!","['staff', 'food', 'atmosphere']","['positive', 'positive', 'positive']","['4', '38', '60']","['9', '42', '70']","[5, 4, 10]"
1486,The staff offers impeccable service.,"['staff', 'service']","['positive', 'positive']","['4', '28']","['9', '35']","[5, 7]"
1487,The staff there is very attentive and down to earth.,['staff'],['positive'],['4'],['9'],[5]
1488,"The staff was accomodating, the food was absolutely delicious and the place is lovely.","['staff', 'food', 'place']","['positive', 'positive', 'positive']","['4', '32', '70']","['9', '36', '75']","[5, 4, 5]"
1489,The staff was knowledgeable and full of personality.,['staff'],['positive'],['4'],['9'],[5]
1490,The staff was the friendliest that have seen in New York.,['staff'],['positive'],['4'],['9'],[5]
1491,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,"['staff', 'sushi', 'check', 'dinner', 'bar']","['negative', 'neutral', 'neutral', 'neutral', 'neutral']","['4', '32', '110', '42', '86']","['9', '37', '115', '48', '89']","[5, 5, 5, 6, 3]"
1492,"The staff was very attentive, the ambience lovely, and the food superb.","['staff', 'ambience', 'food']","['positive', 'positive', 'positive']","['4', '34', '59']","['9', '42', '63']","[5, 8, 4]"
1493,"The steak is good, the fish is good and the sushi was surprisingly great.","['steak', 'fish', 'sushi']","['positive', 'positive', 'positive']","['4', '23', '44']","['9', '27', '49']","[5, 4, 5]"
1494,The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,"['steak', 'butter', 'flavor', 'meat']","['positive', 'negative', 'neutral', 'positive']","['4', '69', '121', '135']","['9', '75', '127', '139']","[5, 6, 6, 4]"
1495,The steak was very fatty and the sauce was overpowering and not very tasty.,"['steak', 'sauce']","['negative', 'negative']","['4', '33']","['9', '38']","[5, 5]"
1496,The strong scents coming from the left and right of me negatively affected my taste buds.,['scents'],['negative'],['11'],['17'],[6]
1497,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).","['sushi', 'wait service', 'atmosphere', 'area']","['negative', 'negative', 'conflict', 'negative']","['4', '54', '95', '161']","['9', '66', '105', '165']","[5, 12, 10, 4]"
1498,The sushi is also great!,['sushi'],['positive'],['4'],['9'],[5]
1499,The sushi is average and the prices are anything but.,"['sushi', 'prices']","['neutral', 'neutral']","['4', '29']","['9', '35']","[5, 6]"
1500,The sushi seemed pretty fresh and was adequately proportioned.,['sushi'],['positive'],['4'],['9'],[5]
1501,The sushi was awful!,['sushi'],['negative'],['4'],['9'],[5]
1502,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",['svc'],['negative'],['4'],['7'],[3]
1503,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,"['sweet lassi', 'lamb chettinad', 'garlic naan', 'rasamalai']","['positive', 'positive', 'positive', 'negative']","['4', '41', '64', '84']","['15', '55', '75', '93']","[11, 14, 11, 9]"
1504,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,"['bottle of wine', 'grapes']","['neutral', 'neutral']","['84', '45']","['98', '51']","[14, 6]"
1505,"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.","['table service', 'service']","['conflict', 'neutral']","['4', '95']","['17', '102']","[13, 7]"
1506,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","['tables', 'menu', 'wine list']","['negative', 'neutral', 'negative']","['4', '42', '93']","['10', '46', '102']","[6, 4, 9]"
1507,The takeout is great too since they give high quality tupperware as well.,['takeout'],['positive'],['4'],['11'],[7]
1508,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","['takeout menu', 'menu', 'italian dishes']","['positive', 'positive', 'positive']","['4', '57', '76']","['16', '61', '90']","[12, 4, 14]"
1509,The tastes makes your mouth water for more.,['tastes'],['positive'],['4'],['10'],[6]
1510,The tuna and wasabe potatoes are excellent.,"['tuna', 'wasabe potatoes']","['positive', 'positive']","['4', '13']","['8', '28']","[4, 15]"
1511,The two star chefs left quite some time ago to open their own place.,['chefs'],['neutral'],['13'],['18'],[5]
1512,"The vibe is very relaxed and cozy, service was great and the food was excellent!","['vibe', 'service', 'food']","['positive', 'positive', 'positive']","['4', '35', '61']","['8', '42', '65']","[4, 7, 4]"
1513,"The view is spectacular, and the food is great.","['view', 'food']","['positive', 'positive']","['4', '33']","['8', '37']","[4, 4]"
1514,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.","['wait', 'dim sum', 'dim sum atmosphere', 'tables']","['negative', 'neutral', 'neutral', 'positive']","['4', '26', '98', '65']","['8', '33', '116', '71']","[4, 7, 18, 6]"
1515,"The wait staff is friendly, and the food has gotten better and better!","['wait staff', 'food']","['positive', 'positive']","['4', '36']","['14', '40']","[10, 4]"
1516,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",['wait staff'],['positive'],['4'],['14'],[10]
1517,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",['wait staff'],['positive'],['4'],['14'],[10]
1518,"The wait staff is very friendly, if not overly efficient.",['wait staff'],['positive'],['4'],['14'],[10]
1519,The waiter actually poured water on my hand and walked away.,"['waiter', 'water']","['negative', 'neutral']","['4', '27']","['10', '32']","[6, 5]"
1520,The waiter was attentive.,['waiter'],['positive'],['4'],['10'],[6]
1521,The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,"['waiters', 'owners']","['negative', 'negative']","['4', '16']","['11', '22']","[7, 6]"
1522,"The waiters are sweet, the food is tasty and the bill is never too large.","['waiters', 'food', 'bill']","['positive', 'positive', 'positive']","['4', '27', '49']","['11', '31', '53']","[7, 4, 4]"
1523,The waiters were not attentive except that the bill turned up on the table before we were finished.,"['waiters', 'bill']","['negative', 'negative']","['4', '47']","['11', '51']","[7, 4]"
1524,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.","['waitress', 'fried mini buns with the condensed milk and the assorted fruits on beancurd']","['positive', 'positive']","['4', '92']","['12', '167']","[8, 75]"
1525,The waitress suggested glasses of wine that went very well with the food.,"['waitress', 'food', 'glasses of wine']","['positive', 'neutral', 'positive']","['4', '68', '23']","['12', '72', '38']","[8, 4, 15]"
1526,The waitress was very patient with us and the food is phenomenal!,"['waitress', 'food']","['positive', 'positive']","['4', '46']","['12', '50']","[8, 4]"
1527,"The waitress, seems to be more concerned of looking good than actually waitressing.",['waitress'],['negative'],['4'],['12'],[8]
1528,The waitresses are nice--also you can just get counter service sit.,"['waitresses', 'counter service']","['positive', 'positive']","['4', '47']","['14', '62']","[10, 15]"
1529,"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.","['waitstaff', 'service']","['negative', 'conflict']","['4', '54']","['13', '61']","[9, 7]"
1530,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",['waitstaff'],['positive'],['4'],['13'],[9]
1531,The website and rating makes this place look wonderful but in reality it was very disappointing.,['place'],['conflict'],['34'],['39'],[5]
1532,"The well mannered, pleasant staff that Tony has in his employ.",['staff'],['positive'],['28'],['33'],[5]
1533,The white bean brushetta to start was incredible and the pasta was phenomenal.,"['white bean brushetta', 'pasta']","['positive', 'positive']","['4', '57']","['24', '62']","[20, 5]"
1534,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",['staff'],['negative'],['82'],['87'],[5]
1535,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,"['wine', 'cheese', 'fondue', 'table grilling']","['positive', 'positive', 'positive', 'positive']","['4', '13', '66', '76']","['8', '19', '72', '90']","[4, 6, 6, 14]"
1536,"The wine is always good, the tapas are always yummy, especially with the warm pita bread.","['wine', 'tapas', 'pita bread']","['positive', 'positive', 'positive']","['4', '29', '78']","['8', '34', '88']","[4, 5, 10]"
1537,The wine list is also really nice.,['wine list'],['positive'],['4'],['13'],[9]
1538,The wine list is excellent.,['wine list'],['positive'],['4'],['13'],[9]
1539,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"['wine list', 'meal', 'priced']","['positive', 'positive', 'positive']","['4', '81', '74']","['13', '85', '80']","[9, 4, 6]"
1540,The wine list is extensive and impressive.,['wine list'],['positive'],['4'],['13'],[9]
1541,The wine list is interesting and has many good values.,['wine list'],['positive'],['4'],['13'],[9]
1542,"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.","['wine list', 'desserts']","['negative', 'negative']","['4', '35']","['13', '43']","[9, 8]"
1543,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"['wine selection', 'reservation']","['positive', 'neutral']","['4', '101']","['18', '112']","[14, 11]"
1544,The wine the service was very good too.,"['wine', 'service']","['positive', 'positive']","['4', '13']","['8', '20']","[4, 7]"
1545,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,"['workers', 'bagel', 'cream cheese']","['neutral', 'neutral', 'neutral']","['4', '43', '54']","['11', '48', '66']","[7, 5, 12]"
1546,The worst excuse for Japanese food I've ever encountered.,['Japanese food'],['negative'],['21'],['34'],[13]
1547,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,"['zucchini', 'mashed potatoes', 'garlic', 'butter']","['positive', 'positive', 'positive', 'positive']","['4', '17', '48', '59']","['12', '32', '54', '65']","[8, 15, 6, 6]"
1548,Their Margarita is best I've had since I've returned from Naples!,['Margarita'],['positive'],['6'],['15'],[9]
1549,"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.","['bagels', 'bagel']","['conflict', 'neutral']","['6', '84']","['12', '89']","[6, 5]"
1550,"Their calzones are horrific, bad, vomit-inducing, YUCK.",['calzones'],['negative'],['6'],['14'],[8]
1551,Their coffee is quite good too!,['coffee'],['positive'],['6'],['12'],[6]
1552,"Their eggplant is so delicate, sweet tender!",['eggplant'],['positive'],['6'],['14'],[8]
1553,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,"['exotic salad', 'green salad', 'sweet basil fried tofu', 'peanut sauce']","['positive', 'positive', 'positive', 'positive']","['6', '49', '110', '68']","['18', '60', '132', '80']","[12, 11, 22, 12]"
1554,Their pad penang is delicious and everything else is fantastic.,['pad penang'],['positive'],['6'],['16'],[10]
1555,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","['sake list', 'Purple Haze']","['positive', 'conflict']","['6', '55']","['15', '66']","[9, 11]"
1556,Their sake martini is wonderful.,['sake martini'],['positive'],['6'],['18'],[12]
1557,"Their sushi, Kamikaze and other Rolls are fresh and well presented.","['sushi', 'Kamikaze', 'Rolls']","['positive', 'positive', 'positive']","['6', '13', '32']","['11', '21', '37']","[5, 8, 5]"
1558,Their tuna tartar appetizer is to die for.,['tuna tartar appetizer'],['positive'],['6'],['27'],[21]
1559,Their whitefish salad is excellent--all whitefish with a little mayo.,"['whitefish salad', 'whitefish', 'mayo']","['positive', 'positive', 'positive']","['6', '40', '64']","['21', '49', '68']","[15, 9, 4]"
1560,Their wines by the glass are a great accompaniment and you can eat like a king with wine for under $30.,"['wines by the glass', 'wine']","['positive', 'neutral']","['6', '84']","['24', '88']","[18, 4]"
1561,"Then, get ripped on free box wine.",['box wine'],['positive'],['25'],['33'],[8]
1562,There are a few Italian employees who may not speak the best English but for me that adds to the experience.,['employees'],['conflict'],['24'],['33'],[9]
1563,There are much better places in NY with better prices.,['prices'],['negative'],['47'],['53'],[6]
1564,There are other people waiting!,['waiting'],['negative'],['23'],['30'],[7]
1565,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,['delivery guys'],['negative'],['49'],['62'],[13]
1566,There is actually space to breathe and the decor sets the tone for an intimate dinner.,"['space', 'decor', 'dinner']","['positive', 'positive', 'neutral']","['18', '43', '79']","['23', '48', '85']","[5, 5, 6]"
1567,There is also very limited seating and there can be a substantial wait in getting food at peak times.,"['seating', 'food', 'wait']","['negative', 'neutral', 'negative']","['27', '82', '66']","['34', '86', '70']","[7, 4, 4]"
1568,There is no excuse for such lousy service!,['service'],['negative'],['34'],['41'],[7]
1569,There is usually a wait but it is well worth it.,['wait'],['conflict'],['19'],['23'],[4]
1570,There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,"['Blue Point oysters', 'beer', 'glass of wine']","['neutral', 'neutral', 'neutral']","['29', '54', '62']","['47', '58', '75']","[18, 4, 13]"
1571,"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.","['table', 'insde table', 'wait']","['neutral', 'positive', 'negative']","['28', '96', '17']","['33', '107', '21']","[5, 11, 4]"
1572,"There was a small wait, but shorter than I expected.",['wait'],['conflict'],['18'],['22'],[4]
1573,There was no ambiance.,['ambiance'],['negative'],['13'],['21'],[8]
1574,There's something smooth about sipping sake upper east side style.,['sake'],['positive'],['39'],['43'],[4]
1575,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,"['french indian fusion', 'dishes']","['positive', 'positive']","['20', '66']","['40', '72']","[20, 6]"
1576,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,"['back garden', 'outdoor seating']","['positive', 'positive']","['17', '71']","['28', '86']","[11, 15]"
1577,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!",['place'],['negative'],['154'],['159'],[5]
1578,They are often crowded on the weekends but they are efficient and accurate with their service.,"['service', 'crowded']","['positive', 'negative']","['86', '15']","['93', '22']","[7, 7]"
1579,They are served with a free appetizer and the portions are perfect for lunch.,"['appetizer', 'portions', 'served', 'lunch']","['positive', 'positive', 'neutral', 'neutral']","['28', '46', '9', '71']","['37', '54', '15', '76']","[9, 8, 6, 5]"
1580,"They are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited.",['reservation'],['negative'],['102'],['113'],[11]
1581,"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system.",['meat'],['neutral'],['51'],['55'],[4]
1582,They are the best bagels I've had.,['bagels'],['positive'],['18'],['24'],[6]
1583,They came out over cooked and the cheese was almost non existant.,['cheese'],['negative'],['34'],['40'],[6]
1584,They charge $6.00 for rice.,['rice'],['negative'],['22'],['26'],[4]
1585,They charge different prices all the time.,['prices'],['negative'],['22'],['28'],[6]
1586,They couldn't even make a salad that was appealing.,['salad'],['negative'],['26'],['31'],[5]
1587,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['toast', 'mayonnaise', 'bacon', 'cheese', 'ingredients', 'plate', 'omelet']","['negative', 'negative', 'negative', 'neutral', 'negative', 'neutral', 'neutral']","['41', '18', '126', '73', '57', '170', '86']","['46', '28', '131', '79', '68', '175', '92']","[5, 10, 5, 6, 11, 5, 6]"
1588,They didn't give us the dinner special until we asked for it.,['dinner special'],['negative'],['24'],['38'],[14]
1589,"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!",['cater'],['positive'],['8'],['13'],[5]
1590,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,"['specials', 'ingredients', 'thai']","['negative', 'negative', 'neutral']","['40', '58', '104']","['48', '69', '108']","[8, 11, 4]"
1591,They don't walk around with the trays of Dim Sum.,['trays of Dim Sum'],['neutral'],['32'],['48'],[16]
1592,They even have a section in the menu called American Chinese food!,"['menu', 'American Chinese food']","['negative', 'negative']","['32', '44']","['36', '65']","[4, 21]"
1593,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","['sandwich', 'plastic forks', 'pita', 'hummus platter']","['neutral', 'neutral', 'neutral', 'neutral']","['14', '39', '73', '87']","['22', '52', '77', '101']","[8, 13, 4, 14]"
1594,They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,"['rice', 'RICE']","['negative', 'negative']","['66', '110']","['70', '114']","[4, 4]"
1595,They have a huge selection of different cream cheeses and all of their salads are great.,"['cream cheeses', 'salads']","['positive', 'positive']","['40', '71']","['53', '77']","[13, 6]"
1596,They have a very diverse menu so its something for everybody.,['menu'],['positive'],['25'],['29'],[4]
1597,They have authentic Indian at amazin prices.,"['Indian', 'prices']","['positive', 'positive']","['20', '37']","['26', '43']","[6, 6]"
1598,"They have it all -- great price, food, and service.","['price', 'food', 'service']","['positive', 'positive', 'positive']","['26', '33', '43']","['31', '37', '50']","[5, 4, 7]"
1599,They have some great entrees here as well.,['entrees'],['positive'],['21'],['28'],[7]
1600,"They might be all business at the counter when you give your order, but their food says I love you.","['food', 'counter']","['positive', 'negative']","['78', '34']","['82', '41']","[4, 7]"
1601,They need a kick out of it but until then the sushi is pretty good and the place is consistent.,"['sushi', 'place']","['positive', 'positive']","['46', '75']","['51', '80']","[5, 5]"
1602,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","['noodles', 'sugar', 'dishes']","['negative', 'negative', 'negative']","['36', '75', '96']","['43', '80', '102']","[7, 5, 6]"
1603,They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,"['menu', 'drinks']","['neutral', 'positive']","['20', '43']","['24', '49']","[4, 6]"
1604,They pray to their Food Gods to make them into a good pizza like VT's.,['pizza'],['negative'],['54'],['59'],[5]
1605,"They sell special sushi, everything have a topping, sauce and etc.","['sushi', 'sauce', 'topping']","['positive', 'positive', 'positive']","['18', '52', '43']","['23', '57', '50']","[5, 5, 7]"
1606,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,['mascarpone with chocolate chip'],['conflict'],['27'],['57'],[30]
1607,They showed up 15 minutes after the tuna melt.,['tuna'],['positive'],['36'],['40'],[4]
1608,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,"['spinach mushroom calzone', 'canned vegetables']","['negative', 'negative']","['68', '41']","['92', '58']","[24, 17]"
1609,They treated us well and the food was extremely fresh and well-prepared.,['food'],['positive'],['29'],['33'],[4]
1610,They used shredded cheese on top!,['shredded cheese'],['neutral'],['10'],['25'],[15]
1611,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,['meat patties in steamed buns'],['negative'],['47'],['75'],[28]
1612,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,"['food', 'rice']","['negative', 'neutral']","['69', '108']","['73', '112']","[4, 4]"
1613,They wouldnt even let me finish my glass of wine before offering another.,['glass of wine'],['neutral'],['35'],['48'],[13]
1614,"They're also friendlier here, especially the owner, Kenny.",['owner'],['positive'],['45'],['50'],[5]
1615,They've the best desserts and mixed drinks as well as snack foods.,"['desserts', 'mixed drinks', 'snack foods']","['positive', 'positive', 'positive']","['17', '30', '54']","['25', '42', '65']","[8, 12, 11]"
1616,This big draw is the all you can sushi here for $19.95!,['sushi'],['positive'],['33'],['38'],[5]
1617,This dish is my favorite and I always get it when I go there and never get tired of it.,['dish'],['positive'],['5'],['9'],[4]
1618,This food is asian-air fusion.,['food'],['neutral'],['5'],['9'],[4]
1619,This is a consistently great place to dine for lunch or dinner.,"['lunch', 'dinner', 'dine']","['neutral', 'neutral', 'positive']","['47', '56', '38']","['52', '62', '42']","[5, 6, 4]"
1620,This is a cute place and could be good but they need to get their act together.,['place'],['positive'],['15'],['20'],[5]
1621,This is a great Thai restaurant with a very friendly staff.,['staff'],['positive'],['53'],['58'],[5]
1622,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,['dinner meeting'],['neutral'],['82'],['96'],[14]
1623,This is a wonderful place on all stand points especially value ofr money.,['value ofr money'],['positive'],['57'],['72'],[15]
1624,This is an amazing place to try some roti rolls.,['roti rolls'],['positive'],['37'],['47'],[10]
1625,This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,"['ambiance', 'night scene', 'spot']","['positive', 'positive', 'positive']","['58', '92', '38']","['66', '103', '42']","[8, 11, 4]"
1626,This is my first time writing a review for a restaurant because the food and service was excellent.,"['food', 'service']","['positive', 'positive']","['68', '77']","['72', '84']","[4, 7]"
1627,This is one great place to eat pizza more out but not a good place for take-out pizza.,"['pizza', 'take-out pizza']","['positive', 'negative']","['31', '71']","['36', '85']","[5, 14]"
1628,This is one of the best comfort food places in the city.,['comfort food'],['positive'],['24'],['36'],[12]
1629,"This is some really good, inexpensive sushi.",['sushi'],['positive'],['38'],['43'],[5]
1630,"This is such a lovely, peaceful place to eat outside.",['place'],['positive'],['32'],['37'],[5]
1631,This is the best sushi in new york city - hands down.,['sushi'],['positive'],['17'],['22'],[5]
1632,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights.",['Jazz'],['positive'],['78'],['82'],[4]
1633,This is the perfect date spot for Williamsburg couples.,['date spot'],['positive'],['20'],['29'],[9]
1634,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!","['lunch', 'dinner', 'pre-theatre or after-theatre drinks', 'spot']","['positive', 'positive', 'positive', 'positive']","['53', '60', '68', '20']","['58', '66', '103', '24']","[5, 6, 35, 4]"
1635,This is the pinnacle of Indian Fast Food (all fast foods in my opinion).,['Indian Fast Food'],['positive'],['24'],['40'],[16]
1636,This isn't your corner Chinese food takeout.,['Chinese food'],['neutral'],['23'],['35'],[12]
1637,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,"['food', 'money', 'place']","['positive', 'positive', 'conflict']","['80', '94', '12']","['84', '99', '17']","[4, 5, 5]"
1638,"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.","['price', 'freshness', 'value', 'quality']","['negative', 'negative', 'negative', 'negative']","['53', '60', '71', '92']","['58', '69', '76', '99']","[5, 9, 5, 7]"
1639,"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.","['money', 'indian food']","['negative', 'neutral']","['111', '120']","['116', '131']","[5, 11]"
1640,This place has many different styles of pizza and they are all amazing.,['styles of pizza'],['positive'],['30'],['45'],[15]
1641,This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,"['sushi', 'menu', 'Japanese classic cuisine']","['positive', 'positive', 'positive']","['27', '50', '58']","['32', '54', '82']","[5, 4, 24]"
1642,This place has the best Chinese style BBQ ribs in the city.,['BBQ ribs'],['positive'],['38'],['46'],[8]
1643,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.","['interior', 'place']","['positive', 'positive']","['24', '5']","['32', '10']","[8, 5]"
1644,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,"['place', 'ambience', 'staff']","['positive', 'positive', 'positive']","['5', '31', '57']","['10', '39', '62']","[5, 8, 5]"
1645,This place is a great stop for great food.,['food'],['positive'],['37'],['41'],[4]
1646,This place is always very crowded and popular.,['place'],['positive'],['5'],['10'],[5]
1647,This place is incredibly tiny.,['place'],['negative'],['5'],['10'],[5]
1648,This place is not worth the prices.,['prices'],['negative'],['28'],['34'],[6]
1649,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",['food'],['negative'],['104'],['108'],[4]
1650,This place is the most Japanese it can ever get.,['place'],['positive'],['5'],['10'],[5]
1651,This place is worth going even if only for their beer.,['beer'],['positive'],['49'],['53'],[4]
1652,This place must have cost the owners afortune to build.,"['owners', 'cost']","['neutral', 'negative']","['30', '21']","['36', '25']","[6, 4]"
1653,This place would be so much better served by being run by a group that actually understands customer service.,"['service', 'served']","['negative', 'negative']","['101', '35']","['108', '41']","[7, 6]"
1654,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.","['place', 'Thai food']","['positive', 'positive']","['5', '65']","['10', '74']","[5, 9]"
1655,This restaurant is a wonderful place to go many times and it is reasonably priced.,['priced'],['positive'],['75'],['81'],[6]
1656,This restaurant used to be our regular Thursday night dinner location.,['dinner location'],['neutral'],['54'],['69'],[15]
1657,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,"['food', 'service']","['positive', 'positive']","['74', '87']","['78', '94']","[4, 7]"
1658,This was the worst dining experience I've ever had.,['dining experience'],['negative'],['19'],['36'],[17]
1659,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.","['menu', 'pad thai', 'tom yum soup']","['neutral', 'neutral', 'neutral']","['25', '48', '61']","['29', '56', '73']","[4, 8, 12]"
1660,Thius is a must for anyone who loves Shabu-Shabu.,['Shabu-Shabu'],['positive'],['37'],['48'],[11]
1661,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","['Spider Roll', 'price', 'shell crab']","['conflict', 'positive', 'positive']","['11', '124', '67']","['22', '129', '77']","[11, 5, 10]"
1662,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.","['table', 'atomosphere', 'room', 'spot']","['negative', 'positive', 'negative', 'negative']","['43', '139', '84', '225']","['48', '150', '88', '229']","[5, 11, 4, 4]"
1663,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","['mussels', 'puff pastry goat cheese', 'salad with a delicious dressing', 'hanger steak au poivre', 'courses']","['positive', 'positive', 'positive', 'positive', 'neutral']","['42', '51', '79', '118', '6']","['49', '74', '110', '140', '13']","[7, 23, 31, 22, 7]"
1664,Three of us arrived for dinner about 5:30 on a week night without reservations.,"['dinner', 'reservations']","['neutral', 'neutral']","['24', '66']","['30', '78']","[6, 12]"
1665,"Three page wine menu, one page entree and horedevous.","['wine menu', 'entree', 'horedevous']","['positive', 'positive', 'positive']","['11', '31', '42']","['20', '37', '52']","[9, 6, 10]"
1666,Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,['dinner'],['neutral'],['41'],['47'],[6]
1667,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",['food'],['positive'],['57'],['61'],[4]
1668,"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.","['hostess', 'wait', 'table']","['positive', 'negative', 'positive']","['81', '45', '135']","['88', '49', '140']","[7, 4, 5]"
1669,"To celebrate a birthday, three of us went to Mare anticipating great food.",['food'],['neutral'],['69'],['73'],[4]
1670,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.","['dessert', 'White Chocolate Bread Pudding with Gelato and hot chocolate', 'dinner']","['positive', 'positive', 'positive']","['64', '88', '32']","['71', '147', '38']","[7, 59, 6]"
1671,"To my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.","['hostess', 'busboy', 'table']","['negative', 'neutral', 'neutral']","['17', '38', '105']","['24', '44', '110']","[7, 6, 5]"
1672,"Told us to sit anywhere, and when we sat he said the table was reserved.",['table'],['negative'],['53'],['58'],[5]
1673,Too bad the food wasn't of the same heritage.,['food'],['negative'],['12'],['16'],[4]
1674,"Took my mom for Mother's Day, and the maitre d' was pretty rude.","[""maitre d'""]",['negative'],['38'],['47'],[9]
1675,"Toons has recently been redone, so it's now a very attractive space.",['space'],['positive'],['62'],['67'],[5]
1676,"Top spot in town for Vietnamese classics, better than places that cost a lot more.",['Vietnamese classics'],['positive'],['21'],['40'],[19]
1677,Total hipster-wannabe attitude in an otherwise sweet spot.,['spot'],['positive'],['53'],['57'],[4]
